Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,Manufacturer_Name,Sim.Pins,Height,Mouser Part Number,Mouser Price/Stock,Function
"C1, C102, C103, C108, C109, C114, C117, C118, C12, C123, C124, C129, C13, C132, C133, C138, C139, C144, C147, C148, C153, C154, C159, C162, C163, C168, C170, C175, C178, C179, C18, C184, C19, C24, C27, C28, C33, C34, C39, C42, C43, C48, C49, C54, C57, C58, C63, C64, C69, C72, C73, C78, C79, C8, C84, C87, C88, C93, C94, C99",60,10µF,CP_Elec_4x5.8,,UCD1E100MCL1GS,,smt,Aluminum Electrolytic Capacitors - SMD 10uF 25V,Nichicon,,,,,
"C10, C100, C105, C106, C11, C111, C112, C115, C120, C121, C126, C127, C130, C135, C136, C141, C142, C145, C150, C151, C156, C157, C160, C165, C166, C169, C172, C173, C176, C181, C182, C186, C195, C196, C197, C203, C206, C21, C22, C25, C3, C30, C31, C36, C37, C40, C45, C46, C51, C52, C55, C6, C60, C61, C66, C67, C70, C75, C76, C81, C82, C85, C90, C91, C96, C97",66,0.1µF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,MCASU21GSB7104KTNA01,,smt,Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 0.1uF X7R 0805 10%,TAIYO YUDEN,,,,,
"C101, C104, C107, C110, C113, C116, C119, C122, C125, C128, C131, C134, C137, C140, C143, C146, C149, C152, C155, C158, C16, C161, C164, C167, C17, C171, C174, C177, C180, C183, C185, C191, C192, C193, C194, C2, C20, C202, C205, C23, C26, C29, C32, C35, C38, C41, C44, C47, C50, C53, C56, C59, C62, C65, C68, C7, C71, C74, C77, C80, C83, C86, C89, C92, C95, C98",66,1µF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,MCASU21GSB7105KTNA01,,smt,Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 1uF X7R 0805 10 %,TAIYO YUDEN,,,,,
"C14, C15, C198, C199, C200, C204, C207, C4, C5, C9",10,10nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,MCASU21GSB7103KTNA01,,smt,Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 0.01uF X7R 0805 10% AEC-Q200,TAIYO YUDEN,,,,,
"C187, C188, C190",3,220µF,CP_Elec_6.3x7.7,,UCD1C221MCL1GS,,smt,Aluminum Electrolytic Capacitors - SMD 220UF 16V,Nichicon,,,,,
"C189, C201",2,100µF,CP_Elec_6.3x7.7,,UCD1E101MCL1GS,,smt,Aluminum Electrolytic Capacitors - SMD 100UF 25V,Nichicon,,,,,
"D1, D2",2,TVS 5V,D_SMB,,SMBJ5.0A-E3/5B,,smt,ESD Protection Diodes / TVS Diodes 5.0V 1000W UniDir TransZorb 5% Tol,Vishay General Semiconductor,,,,,
"D3, D5",2,TVS 12V,D_SMB,,SMBJ12A-E3/5B,,smt,ESD Protection Diodes / TVS Diodes 12V 1000W UniDir TransZorb 5% Tol,Vishay General Semiconductor,,,,,
D4,1,TVS 3V3,D_SMB,,SMBJ3V3-E3/5B,,smt,ESD Protection Diodes / TVS Diodes 3V3V 1000W UniDir TransZorb 5% Tol,Vishay General Semiconductor,,,,,
D6,1,+5V,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,,599-0510-127F,,smt,Single Color LEDs 3216 w/LENS RED,Dialight,Red,,,,
D7,1,+3V3,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,,599-0530-127F,,smt,Single Color LEDs 3216 w/LENS ORANGE,Dialight,Orange,,,,
D8,1,+12V,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,,599-0540-127F,,smt,Single Color LEDs 3216 w/LENS YELLOW,Dialight,Yellow,,,,
D9,1,-12V,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,,599-0590-127F,,smt,Single Color LEDs 3216 w/LENS BLUE,Dialight,Blue,,,,
J1,1,BREAK-OUT,PinSocket_2x36_P2.54mm_Vertical,,803-87-036-10-005101,,tht,"Headers & Wire Housings .100"" Closed Entry Low Profile Socket Strip",Preci-dip,,,,,
"J10, J11, J12, J13, J2, J3, J4, J5, J6, J7, J8, J9",12,SLOT,72-pin CE connector,,5530843-8,,tht,Standard Card Edge Connectors CONN SEC II 72 POS 100C/L,TE Connectivity,,15.494,571-5530843-8,https://www.mouser.co.uk/ProductDetail/TE-Connectivity/5530843-8?qs=HSGlLeu24BMPI5BzFZaRQQ%3D%3D,
J14,1,ATX POWER,ATX_PSU_CONN,,1-1775099-3,,tht,Power to the Board ATX PWR CONN 1 BDLK 24 POS,TE Connectivity,,,571-1-1775099-3,https://www.mouser.co.uk/ProductDetail/TE-Connectivity/1-1775099-3?qs=28ld6GkVMjRzvehyCXdQkg%3D%3D,
R1,1,1K5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,CR0805-FX-1501ELF,,smt,Thick Film Resistors - SMD 1K5 1%,Bourns,,,,,
R2,1,620,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,CR0805-FX-6200ELF,,smt,Thick Film Resistors - SMD 620 1%,Bourns,,,,,
"R3, R4",2,4K7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,CR0805-FX-4701ELF,,smt,Thick Film Resistors - SMD 4K7 1%,Bourns,,,,,
R5,1,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,CR0805-FX-1002ELF,,smt,Thick Film Resistors - SMD 10K 1%,Bourns,,,,,
R6,1,20K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,CR0805-FX-2002ELF,,smt,Thick Film Resistors - SMD 20K 1%,Bourns,,,,,
R7,1,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,CR0805-FX-1001ELF,,smt,Thick Film Resistors - SMD 1K 1%,Bourns,,,,,
R8,1,330,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,CR0805-FX-3300ELF,,smt,Thick Film Resistors - SMD 330ohm 1%,Bourns,,,,,
SW1,1,POWER,TS2912121G300D,,TS29-1212-1-G-300-D,,tht,"TS29-1212-1-G-300-D - 12 x 7.3 mm, 6.3 mm Actuator Height, 300 gf, Through Hole, SPST, Green Illuminiated, Tactile Switch",Same Sky,,7.5,179-TS2912121G300D,https://www.mouser.co.uk/ProductDetail/CUI-Devices/TS29-1212-1-G-300-D?qs=1Kr7Jg1SGW%252BkozbgDumX4g%3D%3D,
U1,1,74HCT74,SOIC-14_3.9x8.7mm_P1.27mm,,CD74HCT74M96,,smt,Flip Flops Dual Pos Edge Trig A 595-CD74HCT74M,Texas Instruments,,,,,DIV2
