pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
26.67,-20.32,-90.0,top,C1,UCD1E100MCL1GS,,CP_Elec_4x5.8,10µF,smt
26.67,-62.23,180.0,top,C10,MCASU21GSB7104KTNA01,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1µF,smt
148.59,-62.23,180.0,top,C100,MCASU21GSB7104KTNA01,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1µF,smt
148.59,-66.04,180.0,top,C101,MCASU21GSB7105KTNA01,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1µF,smt
148.59,-72.39,90.0,top,C102,UCD1E100MCL1GS,,CP_Elec_4x5.8,10µF,smt
148.59,-80.645,90.0,top,C103,UCD1E100MCL1GS,,CP_Elec_4x5.8,10µF,smt
148.59,-87.63,180.0,top,C104,MCASU21GSB7105KTNA01,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1µF,smt
148.59,-91.44,180.0,top,C105,MCASU21GSB7104KTNA01,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1µF,smt
148.59,-96.52,180.0,top,C106,MCASU21GSB7104KTNA01,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1µF,smt
148.59,-100.33,180.0,top,C107,MCASU21GSB7105KTNA01,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1µF,smt
148.59,-106.68,90.0,top,C108,UCD1E100MCL1GS,,CP_Elec_4x5.8,10µF,smt
168.91,-20.32,-90.0,top,C109,UCD1E100MCL1GS,,CP_Elec_4x5.8,10µF,smt
26.67,-66.04,180.0,top,C11,MCASU21GSB7104KTNA01,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1µF,smt
168.91,-26.67,180.0,top,C110,MCASU21GSB7105KTNA01,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1µF,smt
168.91,-30.48,180.0,top,C111,MCASU21GSB7104KTNA01,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1µF,smt
168.91,-41.91,180.0,top,C112,MCASU21GSB7104KTNA01,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1µF,smt
168.91,-45.72,180.0,top,C113,MCASU21GSB7105KTNA01,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1µF,smt
168.91,-52.07,90.0,top,C114,UCD1E100MCL1GS,,CP_Elec_4x5.8,10µF,smt
168.91,-62.23,180.0,top,C115,MCASU21GSB7104KTNA01,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1µF,smt
168.91,-66.04,180.0,top,C116,MCASU21GSB7105KTNA01,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1µF,smt
168.91,-72.39,90.0,top,C117,UCD1E100MCL1GS,,CP_Elec_4x5.8,10µF,smt
168.91,-80.645,90.0,top,C118,UCD1E100MCL1GS,,CP_Elec_4x5.8,10µF,smt
168.91,-87.63,180.0,top,C119,MCASU21GSB7105KTNA01,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1µF,smt
26.67,-72.39,90.0,top,C12,UCD1E100MCL1GS,,CP_Elec_4x5.8,10µF,smt
168.91,-91.44,180.0,top,C120,MCASU21GSB7104KTNA01,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1µF,smt
168.91,-96.52,180.0,top,C121,MCASU21GSB7104KTNA01,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1µF,smt
168.91,-100.33,180.0,top,C122,MCASU21GSB7105KTNA01,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1µF,smt
168.91,-106.68,90.0,top,C123,UCD1E100MCL1GS,,CP_Elec_4x5.8,10µF,smt
189.23,-20.32,-90.0,top,C124,UCD1E100MCL1GS,,CP_Elec_4x5.8,10µF,smt
189.23,-26.67,180.0,top,C125,MCASU21GSB7105KTNA01,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1µF,smt
189.23,-30.48,180.0,top,C126,MCASU21GSB7104KTNA01,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1µF,smt
189.23,-41.91,180.0,top,C127,MCASU21GSB7104KTNA01,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1µF,smt
189.23,-45.72,180.0,top,C128,MCASU21GSB7105KTNA01,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1µF,smt
189.23,-52.07,90.0,top,C129,UCD1E100MCL1GS,,CP_Elec_4x5.8,10µF,smt
26.67,-81.28,90.0,top,C13,UCD1E100MCL1GS,,CP_Elec_4x5.8,10µF,smt
189.23,-62.23,180.0,top,C130,MCASU21GSB7104KTNA01,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1µF,smt
189.23,-66.04,180.0,top,C131,MCASU21GSB7105KTNA01,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1µF,smt
189.23,-72.39,90.0,top,C132,UCD1E100MCL1GS,,CP_Elec_4x5.8,10µF,smt
189.23,-80.645,90.0,top,C133,UCD1E100MCL1GS,,CP_Elec_4x5.8,10µF,smt
189.23,-87.63,180.0,top,C134,MCASU21GSB7105KTNA01,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1µF,smt
189.23,-91.44,180.0,top,C135,MCASU21GSB7104KTNA01,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1µF,smt
189.23,-96.52,180.0,top,C136,MCASU21GSB7104KTNA01,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1µF,smt
189.23,-100.33,180.0,top,C137,MCASU21GSB7105KTNA01,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1µF,smt
